Species,County,locality,Lat,Long,Source,Comments
Zeugodacus scutellatus,,"Kaohsiung, Hsien, Liukuei, Shan-Ping LTER site",22.9680,120.6789,Drew & Romig 2013,
Zeugodacus scutellatus,,Pingtung county,22.6761,120.4942,Drew & Romig 2013,
Zeugodacus scutellatus,,"Sinlo, Pingtung",,,Drew & Romig 2013,
Zeugodacus scutellatus,,Yilan,24.6930,121.7195,Drew & Romig 2013,
Zeugodacus scutellatus,,"Paulei, Kaohsiung Hsien",23.1009,120.6901,Tseng et al. 1992,Type locality of synonymous D. pseudoscutellatus
Zeugodacus scutellatus,Pingtung,Hengchun,22.0000,120.7500,Type locality,
Zeugodacus scutellatus,Pingtung,Koshun (ancient name for Hengchun),22.0424,120.7377,Type locality,
Zeugodacus synnephes,Chiayi,Chuchi,23.4602,120.5892,Drew & Romig 2013,
Zeugodacus synnephes,?,Frenchifu,,,Drew & Romig 2013,
Zeugodacus synnephes,Chiayi,"Jiauliping Chiayi, Itsein",23.5314,120.6438,Drew & Romig 2013,
Zeugodacus synnephes,,"Yangtlen, Taichung Hs",,,Drew & Romig 2013,
Zeugodacus synnephes,?,"Doba, Taiwan",,,Tseng et al. 1992,Record for Dacus synnephes var. dobaensis
Zeugodacus synnephes,,Widely distributed in Taiwan below 900m,,,Tseng et al. 1992,
Zeugodacus synnephes,,"Orchid Island, Taiwan",22.0239,121.5950,Type locality,
Zeugodacus synnephes,,Fuhosho,29.0862,119.5716,Type locality as of Drew & Romig 2013,
Zeugodacus tappanus,,Tappan,23.4564,120.7480,Drew & Romig 2013,
Zeugodacus tappanus,,"Uling farm, Taichung HS",24.3929,121.3067,Drew & Romig 2013,Uling farm should be Wuling farm
Zeugodacus tappanus,,"Paulei, Kohsiung Hsien",23.1009,120.6901,Tseng et al. 1992,
Zeugodacus tappanus,,Taiwan,,,Type locality,
Zeugodacus tau,Chiayi,Chiayi (= Kagi),23.4754,120.4473,Drew & Romig 2013,
Zeugodacus tau,Chiayi,Chuchi,23.4602,120.5892,Drew & Romig 2013,
Zeugodacus tau,,Fen Chi Hu,24.6766,120.9683,Drew & Romig 2013,
Zeugodacus tau,,Fuhosho (= Wucheng),29.0862,119.5716,Drew & Romig 2013,
Zeugodacus tau,Chiayi,"Jiauliping Chiayi, Itsein",23.5314,120.6438,Drew & Romig 2013,
Zeugodacus tau,,Nanfeng,,,Drew & Romig 2013,
Zeugodacus tau,,Taichung,24.2332,120.9417,Drew & Romig 2013,
Zeugodacus tau,,Tsaochiao,24.6500,120.8667,Drew & Romig 2013,
Zeugodacus tau,,Wusha,24.0176,121.1296,Drew & Romig 2013,
Zeugodacus tau,,"Lishan, Taichung Hsien",24.2546,121.2518,Tseng et al. 1992,Type locality of ss synonymous D. elegantis page 61
Zeugodacus tau,,"Tainan, Taiwan",,,Tseng et al. 1992,Type locality for Dacus caudatus nubilus (synonym)
Zeugodacus tau,,"Wufeng, Taichung Hsien",24.0613,120.6999,Tseng et al. 1992,Type locality of ss synonymous D. flavus page 63
,,,,,,
