Species,Code,Lure,Country,Site,Lat,Long,Elevation (m) (google earth),Trapping dates,Habitat,Collectors,#
Bactrocera dorsalis,,ME,Taiwan,"New Taipei City, Shimen, Shifen waterfall",25.0489,121.7874,178,20-xi-2015,,,7
Zeugodacus cucurbitae,,CL,Taiwan,"Taitung: Luye, Lungtien",22.9580,121.1595,176,28-viii-2015,,,7
Bactrocera dorsalis,FF259 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7293,120.7924,809,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF270,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9287,120.8922,751,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF294,ME,Taiwan,Pingtung Co. Kenting National Park,21.9146,120.8544,84,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF336,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4431,120.6680,1141,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF338,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4665,120.6916,1284,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF362,ME,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4602,120.5529,237,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,,ME,Taiwan,Tainan Co.: Mount Kamtgshan,,,,14-viii-2015,,,8
Zeugodacus cucurbitae,FF353,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4804,120.6522,618,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF253 (Tw),ME,Taiwan,Taipei,25.0277,121.5285,32,27-28-vii-2014,,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,FF265 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9257,120.8877,730,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,FF364,ME,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4562,120.5228,154,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,,ME,Taiwan,"Hualien County: Fuli, Luoshan Waterfall",23.1815,121.2949,537,27-viii-2015,,,9
